classlabel,Alcohol,Malic Acid,Ash,Alcalinity of Ash,Magnesium,Total Phenols,Flavanoids,Nonflavanoid Phenols,Proanthocyanins,Color Intensity,Hue,OD280/OD315 of Diluted Wines,Proline
1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,1.25,5.64,1.04,3.92,1065
1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,1.28,5.68,1.03,3.17,1185
2,13.16,2.15,2.3,16.6,105,2.1,2.87,0.2,1.37,4.12,1.02,3.17,1480
2,14.37,1.94,2.5,14.6,110,2.5,2.98,0.23,1.35,5.32,1.07,3.33,1510
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
